BRADEMAS, John
SKUBITZ, Joe
LLOYD, Marilyn Laird
PEYSER, Peter A.
YATRON, Gus
DELANEY, James Joseph
SARASIN, Ronald Arthur
UDALL, Morris King
PRESSLER, Larry Lee
LUNDINE, Stanley Nelson
McDADE, Joseph Michael
MEEDS, Edwin Lloyd
JENRETTE, John Wilson, Jr.
DANIEL, Robert Williams, Jr.
FOLEY, Thomas Stephen
MOORHEAD, Carlos John
BURKE, James Anthony
O'HARA, James Grant
FORD, William David
EILBERG, Joshua
PREYER, Lunsford Richardson
WAMPLER, William Creed
PEPPER, Claude Denson
VANDER JAGT, Guy Adrian
SMITH, Neal Edward
TEAGUE, Olin Earl
FLOOD, Daniel John
ANDREWS, Mark
HAYES, Philip Harold
ROYBAL, Edward R.
MYERS, John Thomas
WILSON, Robert Carlton (Bob)
BURLESON, Omar Truman
HORTON, Frank Jefferson
WINN, Edward Lawrence, Jr. (Larry)
SPENCE, Floyd Davidson
LEHMAN, William
BERGLAND, Robert Selmer
DINGELL, John David, Jr.
GRADISON, Willis David, Jr.
ROUSH, John Edward
BURKE, Yvonne Brathwaite
WAXMAN, Henry Arnold
HAMMERSCHMIDT, John Paul
RONCALIO, Teno
RUSSO, Martin Anthony
ASPIN, Leslie
CLANCY, Donald Daniel
VAN DEERLIN, Lionel
BALDUS, Alvin James
NATCHER, William Huston
MILLER, George
BELL, Alphonzo
HOWARD, James John
BOGGS, Corinne Claiborne (Lindy)
MEYNER, Helen Stevenson
ANNUNZIO, Frank
PATTERSON, Jerry Mumford
LATTA, Delbert Leroy
RANDALL, William Joseph
BEARD, Robin Leo, Jr.
MILFORD, Dale
O'NEILL, Thomas Philip, Jr. (Tip)
TREEN, David Conner
BLANCHARD, James Johnston
ANDREWS, Ike Franklin
KINDNESS, Thomas Norman
HAMILTON, Lee Herbert
STRATTON, Samuel Studdiford
LONG, Clarence Dickinson
FORD, Harold Eugene
YOUNG, Donald Edwin
McEWEN, Robert Cameron
MURPHY, Morgan Francis
DERRICK, Butler Carson, Jr.
MINK, Patsy Takemoto
ASHLEY, Thomas William Ludlow
ABDNOR, James
HUGHES, William John
CARNEY, Charles Joseph
PIKE, Otis Grey
DUNCAN, John James
DODD, Christopher John
BROWN, George Edward, Jr.
CHISHOLM, Shirley Anita
STANTON, James Vincent
JONES, Ed
CARR, Milton Robert (Bob)
EVANS, Frank Edward
STANTON, John William
FLYNT, John James, Jr.
HALL, Sam Blakeley, Jr.
COTTER, William Ross
GUDE, Gilbert
EDWARDS, William Jackson (Jack)
FREY, Louis, Jr.
SISK, Bernice Frederic
HARRINGTON, Michael Joseph
BLOUIN, Michael Thomas
BROYHILL, James Thomas
SYMINGTON, James Wadsworth
HYDE, Henry John
EVANS, David Walter
ERLENBORN, John Neal
SHARP, Philip Riley
SHIPLEY, George Edward
CORNELL, Robert John
RUPPE, Philip Edward
AuCOIN, Les
HALL, Tim Lee
DANIELSON, George Elmore
HICKS, Floyd Verne
VANDER VEEN, Richard Franklin
QUIE, Albert Harold
RICHMOND, Frederick William
JARMAN, John
MINETA, Norman Y.
FLOWERS, Walter
PRICE, Charles Melvin
D'AMOURS, Norman Edward
COLLINS, Cardiss
METCALFE, Ralph Harold
SARBANES, Paul Spyros
ADAMS, Brockman (Brock)
RODINO, Peter Wallace, Jr.
ROONEY, Frederick Bernard
RYAN, Leo Joseph
STEED, Thomas Jefferson
BROOMFIELD, William S.
GUYER, Tennyson
OBEY, David Ross
NIX, Robert Nelson Cornelius, Sr.
BAUMAN, Robert Edmund
ECKHARDT, Robert Christian
WIRTH, Timothy E.
REUSS, Henry Schoellkopf
MANN, James Robert
STEELMAN, Alan Watson
MOAKLEY, John Joseph
TRAXLER, Jerome Bob
MITCHELL, Donald Jerome
MELCHER, John
HUNGATE, William Leonard
PATTISON, Edward Worthington
NEDZI, Lucien Norbert
FORSYTHE, Edwin Bell
BUTLER, Manley Caldwell
WILSON, Charles
ROSTENKOWSKI, Daniel David
LaFALCE, John Joseph
HINSHAW, Andrew Jackson
SHRIVER, Garner E.
GIAIMO, Robert Nicholas
ROE, Robert A.
McHUGH, Matthew Francis
AMBRO, Jerome Anthony, Jr.
MORGAN, Thomas Ellsworth
MURPHY, John Michael
KARTH, Joseph Edward
HANLEY, James Michael
WYDLER, John Waldemar
BROOKS, Jack Bascom
WILSON, Charles Herbert
RINALDO, Matthew John
GRASSLEY, Charles Ernest
KRUEGER, Robert Charles
PICKLE, James Jarrell (Jake)
JOHNSON, Albert Walter
VANIK, Charles Albert
GREEN, William Joseph
THORNTON, Raymond Hoyt (Ray), Jr.
ROSE, Charles Grandison, III
FRASER, Donald MacKay
KEMP, Jack French
McCOLLISTER, John Yetter
O'BRIEN, George Miller
SMITH, Virginia Dodd
ANDERSON, Glenn Malcolm
BONKER, Don Leroy
HEFNER, Willie Gathrel (Bill)
SULLIVAN, Leonor Kretzer
WHITEHURST, George William
LEGGETT, Robert Louis
PETTIS, Shirley Neil
BOWEN, David Reece
DIGGS, Charles Coles, Jr.
ESHLEMAN, Edwin Duing
ARMSTRONG, William Lester
BAFALIS, Louis Arthur (Skip)
KREBS, John Hans
BOLLING, Richard Walker
NOLAN, Richard Michael
BOLAND, Edward Patrick
TALCOTT, Burt Lacklen
CLEVELAND, James Colgate
CORMAN, James Charles
BUCHANAN, John Hall, Jr.
