name,partido,x,y
"McCORMACK, Mike",Democratic Party,-0.348,0.282
"McHUGH, Matthew Francis",Democratic Party,-0.353,-0.227
"SPELLMAN, Gladys Noon",Democratic Party,-0.308,-0.216
"SEIBERLING, John Frederick",Democratic Party,-0.496,-0.457
"MATSUNAGA, Spark Masayuki",Democratic Party,-0.379,-0.032
"FASCELL, Dante Bruno",Democratic Party,-0.4,0.229
"BOLAND, Edward Patrick",Democratic Party,-0.306,-0.104
"ANDERSON, Glenn Malcolm",Democratic Party,-0.269,-0.052
"CARR, Milton Robert (Bob)",Democratic Party,-0.254,-0.342
"KRUEGER, Robert Charles",Democratic Party,-0.117,0.4
"RUSSO, Martin Anthony",Democratic Party,-0.192,-0.209
"MADDEN, Ray John",Democratic Party,-0.422,0.03
"COTTER, William Ross",Democratic Party,-0.313,0.103
"PATTERSON, Jerry Mumford",Democratic Party,-0.367,0.007
"KEYS, Martha Elizabeth",Democratic Party,-0.231,-0.471
"SANTINI, James David",Democratic Party,-0.074,0.132
"LEHMAN, William",Democratic Party,-0.483,-0.001
"MURTHA, John Patrick, Jr.",Democratic Party,-0.265,0.569
"JORDAN, Barbara Charline",Democratic Party,-0.522,0.253
"FLORIO, James Joseph",Democratic Party,-0.318,-0.101
"HECHLER, Kenneth William",Democratic Party,-0.31,-0.292
"PERKINS, Carl Dewey",Democratic Party,-0.343,0.332
"REUSS, Henry Schoellkopf",Democratic Party,-0.481,-0.278
"OBERSTAR, James Louis",Democratic Party,-0.553,0.304
"VANDER VEEN, Richard Franklin",Democratic Party,-0.364,-0.145
"YATES, Sidney Richard",Democratic Party,-0.494,-0.494
"JOHNSON, Albert Walter",Republican Party,0.197,-0.021
"HOWARD, James John",Democratic Party,-0.431,-0.018
"TSONGAS, Paul Efthemios",Democratic Party,-0.383,-0.498
"BRODHEAD, William McNulty",Democratic Party,-0.463,-0.427
"EDWARDS, William Donlon (Don)",Democratic Party,-0.599,-0.419
"NATCHER, William Huston",Democratic Party,-0.288,0.575
"ASPIN, Leslie",Democratic Party,-0.32,-0.125
"GAYDOS, Joseph Matthew",Democratic Party,-0.278,0.398
"MOORHEAD, William Singer",Democratic Party,-0.416,-0.004
