id,x,y,party,name
10577,-0.634,-0.304,Democratic Party,"BURTON, Phillip"
10583,-0.599,-0.419,Democratic Party,"EDWARDS, William Donlon (Don)"
10705,-0.509,-0.488,Democratic Party,"BINGHAM, Jonathan Brewster"
10421,-0.494,-0.494,Democratic Party,"YATES, Sidney Richard"
14279,-0.383,-0.498,Democratic Party,"TSONGAS, Paul Efthemios"
14244,-0.231,-0.471,Democratic Party,"KEYS, Martha Elizabeth"
14046,0.023,-0.392,Republican Party,"RINALDO, Matthew John"
14041,0.169,-0.132,Republican Party,"O'BRIEN, George Miller"
10598,0.197,-0.021,Republican Party,"JOHNSON, Albert Walter"
10525,0.188,0.122,Republican Party,"HARSHA, William Howard"
10721,0.177,0.161,Republican Party,"EDWARDS, William Jackson (Jack)"
9802,0.146,0.212,Republican Party,"WAMPLER, William Creed"
14237,-0.038,0.476,Democratic Party,"HUBBARD, Carroll, Jr."
7717,-0.184,0.568,Democratic Party,"RANDALL, William Joseph"
6584,-0.349,0.586,Democratic Party,"MOLLOHAN, Robert Homer"
4957,-0.439,0.503,Democratic Party,"JOHNSON, Harold Terry"
14265,-0.553,0.304,Democratic Party,"OBERSTAR, James Louis"
6756,-0.582,0.191,Democratic Party,"MOSS, John Emerson"
